SUBZONE_N,PLN_AREA_N,REGION_N,Age_0to6,Age_20to29,Age_over85,HDB_AV_E,HDB_AV_2rm,HDB_AV_1rm,House_AV,Condo_AV,EC_AV,Apart_AV,e12k_Over,DP,FDW,WP,stud_lprim,stud_jcoll,VariableX,Y
BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION,1464,3715,257,60530,2258,2258,0,22219,41401,0,927,302,957,765,686,99,508,5770
UPPER PAYA LEBAR,SERANGOON,NORTH-EAST REGION,901,2646,233,27453,0,0,780173,98116,0,216927,1349,417,1221,932,390,115,356,5158
TAI SENG,HOUGANG,NORTH-EAST REGION,808,2167,306,16477,9004,9004,316351,25216,0,87199,809,175,914,1428,359,120,844,5210
TENGEH,TUAS,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0
YUHUA WEST,JURONG EAST,WEST REGION,1088,3016,232,112158,2412,2412,0,46503,0,122412,758,562,825,1185,507,61,377,6453
YUNNAN,JURONG WEST,WEST REGION,3868,12361,136,197589,4803,4803,123606,0,192327,0,1126,130,1773,6486,1864,161,0,12126
LORONG CHUAN,SERANGOON,NORTH-EAST REGION,604,1345,156,0,0,0,708542,232715,0,159087,1403,899,1414,290,232,141,820,4983
HONG KAH,JURONG WEST,WEST REGION,3167,8043,332,245642,9605,9605,0,110148,0,0,1097,965,1576,4030,1399,97,0,10507
TUAS PROMENADE,TUAS,WEST REGION,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,788,0
AIRPORT ROAD,PAYA LEBAR,EAST REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,516
SERANGOON CENTRAL,SERANGOON,NORTH-EAST REGION,1113,3859,359,80539,0,0,174701,176828,0,143150,1265,708,1327,1291,439,134,317,8881
BISHAN EAST,BISHAN,CENTRAL REGION,1516,4450,295,191084,2712,2712,0,73215,57611,0,1758,241,1510,506,677,103,260,7741
TAMPINES WEST,TAMPINES,EAST REGION,5709,12978,468,319354,8507,8507,0,194568,112449,0,2146,1153,3042,2261,2082,184,110,20961
BRICKWORKS,BUKIT BATOK,WEST REGION,69,105,0,0,0,0,0,0,0,0,0,23,0,0,0,0,771,2463
DUNEARN,NOVENA,CENTRAL REGION,262,492,99,0,0,0,957398,44106,0,83604,804,661,1220,41,123,35,634,1343
