,BUILDING_N,longitude,latitude,HOUSE_BLK_NO,ROAD_NAME,POSTAL_CODE,address
112,RAFFLES GIRLS' SCHOOL (SECONDARY),103.82896,1.311695,20,ANDERSON ROAD,259978.0,2 BRADDELL RISE RAFFLES GIRLS' SCHOOL (SECONDARY) SINGAPORE 318871
113,RAINBOW CENTRE -  MARGARET DRIVE SCHOOL,103.809086,1.297283,501,MARGARET DRIVE,149306.0,501 MARGARET DRIVE RAINBOW CENTRE - MARGARET DRIVE SCHOOL SINGAPORE 149306
114,RIVER VALLEY PRIMARY SCHOOL,103.836294,1.293818,2,RIVER VALLEY GREEN,237993.0,2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993
115,S P JAIN SCHOOL OF GLOBAL MANAGEMENT,103.801422,1.279905,10,HYDERABAD ROAD,119579.0,10 HYDERABAD ROAD S P JAIN SCHOOL OF GLOBAL MANAGEMENT SINGAPORE 119579
116,SAINT ANDREW'S JUNIOR SCHOOL,103.865075,1.331232,2,FRANCIS THOMAS DRIVE,359337.0,2 FRANCIS THOMAS DRIVE SAINT ANDREW'S JUNIOR SCHOOL SINGAPORE 359337
117,SAINT ANDREW'S SECONDARY SCHOOL,103.865946,1.330635,15,FRANCIS THOMAS DRIVE,359342.0,15 FRANCIS THOMAS DRIVE SAINT ANDREW'S SECONDARY SCHOOL SINGAPORE 359342
118,SAINT MARGARET'S PRIMARY SCHOOL,103.846251,1.303788,99,WILKIE ROAD,228091.0,2 MATTAR ROAD SAINT MARGARET'S PRIMARY SCHOOL SINGAPORE 387724
119,SAINT MARGARET'S SECONDARY SCHOOL,103.809951,1.320068,111,FARRER ROAD,259240.0,111 FARRER ROAD SAINT MARGARET'S SECONDARY SCHOOL SINGAPORE 259240
120,SAN YU ADVENTIST SCHOOL,103.841038,1.321835,299,THOMSON ROAD,307652.0,299 THOMSON ROAD SAN YU ADVENTIST SCHOOL SINGAPORE 307652
121,"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",103.774012,1.312928,1,TECHNOLOGY DRIVE,138572.0,1 TECHNOLOGY DRIVE SCHOOL OF SCIENCE AND TECHNOLOGY
122,SCHOOL OF THE ARTS (SOTA),103.848687,1.299365,1,ZUBIR SAID DRIVE,227968.0,1 ZUBIR SAID DRIVE SCHOOL OF THE ARTS (SOTA) SINGAPORE 227968
123,SINGAPORE CHINESE GIRLS' SCHOOL,103.828192,1.321045,190,DUNEARN ROAD,309437.0,190 DUNEARN ROAD SINGAPORE CHINESE GIRLS' SCHOOL SINGAPORE 309437
124,SINGAPORE KOREAN INTERNATIONAL SCHOOL,103.790311,1.345887,71,BUKIT TINGGI ROAD,289759.0,71 BUKIT TINGGI ROAD SINGAPORE KOREAN INTERNATIONAL SCHOOL SINGAPORE 289759
125,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF ACCOUNTANCY),103.849728,1.29573,60,STAMFORD ROAD,178900.0,60 STAMFORD ROAD SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF ACCOUNTANCY) SINGAPORE 178900
126,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF INFORMATION SYSTEMS),103.849552,1.297377,80,STAMFORD ROAD,178902.0,80 STAMFORD ROAD SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF INFORMATION SYSTEMS) SINGAPORE 178902
127,SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF LAW),103.848924,1.295109,55,ARMENIAN STREET,179943.0,55 ARMENIAN STREET SINGAPORE MANAGEMENT UNIVERSITY (SCHOOL OF LAW) SINGAPORE 179943
128,STAMFORD AMERICAN INTERNATIONAL SCHOOL,103.869709,1.336975,1,WOODLEIGH LANE,357684.0,1 WOODLEIGH LANE STAMFORD AMERICAN INTERNATIONAL SCHOOL SINGAPORE 357684
129,STAMFORD PRIMARY SCHOOL,103.857454,1.303456,1,VICTORIA LANE,198423.0,1 VICTORIA LANE STAMFORD PRIMARY SCHOOL SINGAPORE 198423
